# generated 2026-07-30
# dumps: https://dumps.wikimedia.org/backup-index-bydb.html
# names: https://meta.wikimedia.org/w/api.php?action=sitematrix&format=json&formatversion=2
# dbname	language	status
aawiki	Afar	closed
abwiki	Abkhazian	open
acewiki	Acehnese	open
adywiki	Adyghe	open
afwiki	Afrikaans	open
akwiki	Akan	closed
alswiki	Alemannic	open
altwiki	Southern Altai	open
amiwiki	Amis	open
amwiki	Amharic	open
angwiki	Old English	open
annwiki	Obolo	open
anpwiki	Angika	open
anwiki	Aragonese	open
arcwiki	Aramaic	open
arwiki	Arabic	open
arywiki	Moroccan Arabic	open
arzwiki	Egyptian Arabic	open
astwiki	Asturian	open
aswiki	Assamese	open
atjwiki	Atikamekw	open
avkwiki	Kotava	open
avwiki	Avaric	open
awawiki	Awadhi	open
aywiki	Aymara	open
azbwiki	South Azerbaijani	open
azwiki	Azerbaijani	open
banwiki	Balinese	open
barwiki	Bavarian	open
bat_smgwiki	Samogitian	open
bawiki	Bashkir	open
bbcwiki	Batak Toba	open
bclwiki	Central Bikol	open
bdrwiki	West Coast Bajau	open
be_x_oldwiki	Belarusian (Taraškievica orthography)	open
bewiki	Belarusian	open
bewwiki	Betawi	open
bgwiki	Bulgarian	open
bhwiki	Bhojpuri	open
biwiki	Bislama	open
bjnwiki	Banjar	open
blkwiki	Pa'O	open
bmwiki	Bambara	open
bnwiki	Bangla	open
bowiki	Tibetan	open
bpywiki	Bishnupriya	open
brwiki	Breton	open
bswiki	Bosnian	open
btmwiki	Batak Mandailing	open
bugwiki	Buginese	open
bxrwiki	Russia Buriat	open
cawiki	Catalan	open
cbk_zamwiki	Chavacano	open
cdowiki	Mindong	open
cebwiki	Cebuano	open
cewiki	Chechen	open
chowiki	Choctaw	closed
chrwiki	Cherokee	open
chwiki	Chamorro	open
chywiki	Cheyenne	open
ckbwiki	Central Kurdish	open
cowiki	Corsican	open
crhwiki	Crimean Tatar	open
crwiki	Cree	closed
csbwiki	Kashubian	open
